location,lat,long
eagleio.qldgov.1120054.JRC.JohnstoneRiveratCoquettePoint,-17.51119,146.06035
eagleio.qldgov.1110056.MRD.MulgraveatDeeral,-17.20732266,145.9263848
eagleio.qldgov.110001D.MYO.BarronRiveratMyola,-16.79983,145.61211
eagleio.qldgov.1080025.DRL.DaintreeRiveratLowerDaintree,-16.256032,145.362406
eagleio.qldgov.1111019.RRE.RussellatEast,-17.26732738,145.9543425
eagleio.qldgov.113006A.TRE.TullyRiveratEuramo,-17.99214,145.94247
eagleio.qldgov.105106A.WNM.WestNormanbyRiveratMountSelheim,-20.009293,148.205557
eagleio.qldgov.1120053.JRI.JohnstoneRiveratInnisfail,-17.52603,146.0376
digiscape_gbr.digiscapegbr21,-16.87789,145.69722
digiscape_gbr.digiscapegbr22,-16.87789,145.69722
digiscape_gbr.digiscapegbr23,-16.87789,145.69722
digiscape_gbr.digiscapegbrproject25behanacreek,-17.118768,145.854251
digiscape_gbr.digiscapegbrproject25dixonroad,-17.34742,145.95304
digiscape_gbr.5913e0e58b0ee5cf0c535e93,-17.39505,145.5963133
digiscape_gbr.digiscapegbrproject25miriwinni,-17.40138,145.909
